-,-,-
-813, -125, 19
-763, -136, -38
-687, -162, -86
-642, -116, -65
-646, -74, -42
-691, -161, -56
-691, -161, -56
-767, -253, -82
-808, -257, -133
-792, -210, -132
-790, -169, -44
-835, -173, 39
-881, -158, 101
-869, -116, 152
-791, -95, 164
-755, -56, 167
-761, 10, 225
-791, -6, 285
-791, -6, 285
-804, -48, 324
-798, -41, 389
-796, 9, 468
-834, 17, 518
-920, 18, 518
-920, 18, 518
-1001, -40, 542
-1040, -95, 624
-1033, -107, 776
-1031, -101, 888
-1061, -130, 917
-1056, -156, 849
-1051, -201, 820
-1056, -235, 883
-1028, -248, 977
-992, -246, 1012
-997, -270, 994
-1009, -275, 997
-949, -250, 1082
-877, -242, 1176
-857, -284, 1188
-869, -327, 1103
-841, -332, 1051
-735, -228, 1047
-655, -197, 1058
-686, -270, 963
-748, -340, 809
-765, -329, 688
-703, -254, 632
-683, -231, 638
-762, -289, 642
-796, -309, 513
-811, -335, 441
-864, -314, 406
-952, -345, 351
-952, -345, 351
-1023, -429, 290
-1006, -480, 185
-970, -438, 124
-916, -325, 130
-947, -316, 127
-995, -415, 34
-1008, -468, -114
-1001, -464, -215
-926, -375, -175
-921, -345, -52
-1003, -389, 59
-1078, -465, 52
-1160, -490, 34
-,-,-
-900, -31, -129
-843, -5, -164
-822, 5, -156
-790, 52, -156
-790, 52, -156
-752, 14, -210
-726, 28, -249
-693, 83, -274
-668, 48, -274
-679, -38, -260
-700, -112, -282
-685, -78, -308
-608, -30, -261
-491, -16, -167
-487, -23, -88
-548, -11, -25
-548, -11, -25
-580, -2, -10
-581, 6, 12
-598, 6, 105
-691, -22, 210
-813, -63, 311
-813, -63, 311
-879, -102, 377
-915, -142, 435
-966, -155, 514
-988, -143, 602
-1021, -171, 706
-1065, -225, 729
-1087, -303, 618
-1119, -343, 637
-1105, -352, 801
-1064, -373, 887
-1085, -416, 829
-1143, -475, 790
-1151, -504, 773
-1178, -526, 824
-1205, -542, 926
-1247, -546, 1039
-1244, -537, 1043
-1224, -547, 1014
-1188, -569, 1025
-1117, -568, 1009
-1054, -525, 901
-1008, -551, 805
-934, -620, 785
-862, -600, 812
-822, -479, 760
-806, -444, 660
-773, -441, 598
-660, -443, 591
-562, -379, 606
-568, -278, 585
-619, -299, 549
-653, -359, 500
-602, -338, 468
-522, -277, 503
-603, -240, 527
-603, -240, 527
-836, -296, 483
-985, -448, 363
-995, -430, 229
-888, -335, 227
-791, -164, 324
-940, -185, 391
-1100, -316, 308
-1144, -353, 139
-1103, -306, 55
-1012, -192, 70
-1015, -198, 111
-1095, -312, 122
-1141, -432, 78
-1137, -409, 77
-1031, -264, 128
-,-,-
-912, 0, -74
-835, 54, -63
-815, 75, -110
-847, 10, -145
-858, -70, -169
-787, -73, -150
