-,-,-
-546, -218, -194
-620, -259, -208
-636, -256, -231
-622, -236, -215
-633, -284, -219
-672, -356, -270
-709, -415, -299
-695, -402, -303
-651, -333, -221
-631, -302, -110
-653, -274, -74
-686, -261, -63
-665, -226, -58
-617, -164, -23
-589, -80, 43
-599, -46, 80
-618, -53, 85
-654, -44, 140
-615, -36, 215
-615, -36, 215
-614, -56, 281
-668, -21, 286
-716, 11, 246
-739, -17, 280
-742, -58, 385
-778, -97, 460
-894, -146, 479
-975, -206, 467
-975, -206, 467
-939, -211, 455
-869, -152, 537
-883, -65, 570
-925, -163, 547
-961, -203, 534
-936, -209, 559
-935, -198, 653
-961, -238, 758
-1000, -376, 778
-1050, -458, 739
-1068, -414, 749
-1046, -397, 813
-1052, -487, 866
-1149, -638, 805
-1244, -822, 644
-1242, -864, 516
-1123, -749, 501
-1038, -689, 575
-1056, -747, 542
-1080, -870, 376
-1067, -943, 229
-985, -860, 216
-901, -755, 297
-864, -723, 288
-835, -785, 192
-855, -896, 97
-855, -896, 97
-839, -908, 33
-785, -858, 0
-732, -819, -69
-726, -816, -158
-762, -833, -149
-777, -813, -141
-734, -757, -179
-697, -765, -195
-683, -840, -226
-715, -900, -310
-751, -938, -376
-750, -966, -378
-708, -969, -403
-671, -960, -451
-664, -968, -472
-677, -950, -504
-644, -929, -541
-605, -870, -530
-587, -821, -517
-615, -789, -510
-633, -788, -490
-617, -760, -507
-591, -755, -564
-572, -748, -595
-580, -702, -585
-563, -667, -548
-558, -675, -520
-594, -679, -483
-637, -705, -477
-646, -651, -463
-619, -563, -411
-602, -473, -348
-602, -399, -292
-631, -353, -259
-684, -338, -260
-713, -267, -288
-712, -201, -299
-696, -182, -322
-694, -160, -345
-709, -157, -353
-718, -154, -320
-688, -132, -285
-623, -98, -171
-638, -51, -146
-,-,-
-578, -367, -546
-645, -297, -548
-617, -272, -544
-609, -239, -538
-621, -218, -485
-639, -229, -427
-642, -227, -393
-666, -221, -370
-701, -229, -354
-696, -194, -298
-711, -172, -231
-706, -162, -187
-714, -125, -161
-714, -85, -120
-703, -89, -60
-691, -66, 13
-666, -34, 90
-654, -27, 141
