-,-,-
-1008, 154, 129
-919, 285, 126
-1010, 484, 43
-973, 796, -101
-870, 1016, -263
-955, 1326, -306
-1233, 1778, -375
-1458, 1997, -371
-1266, 1979, -310
-873, 1792, -241
-512, 1374, -163
-103, 789, -171
269, 66, -272
464, -1037, -203
412, -1987, 207
49, -1998, 356
-570, -1998, 447
-1520, -1998, 570
-,-,-
-913, 232, -143
-865, 439, -133
-860, 724, -124
-891, 928, -182
-936, 1070, -231
-990, 1163, -258
-1063, 1384, -251
-1050, 1639, -231
-1109, 1723, -167
-1139, 1525, -86
-1036, 1195, -35
-687, 784, -19
-162, 133, 171
477, -678, 203
926, -1718, -87
481, -1998, 237
-1085, -1998, 980
-,-,-
-980, 118, 74
-977, 146, 89
-977, 146, 89
-1024, 224, 64
-1071, 381, 83
-1121, 598, 143
-1076, 948, 63
-970, 1433, -72
-859, 1722, -113
-684, 1791, -107
-776, 1792, -239
-729, 1652, -406
-603, 1360, -406
-356, 782, -309
10, 75, -196
256, -825, 12
256, -825, 12
45, -1904, 437
-525, -1998, 455
-,-,-
-908, 529, 185
-951, 634, 166
-1120, 833, 80
-1120, 833, 80
-1253, 974, -31
-1200, 1258, -136
-1088, 1475, -210
-1193, 1763, -350
-1302, 1971, -385
-1075, 1743, -233
-623, 1224, -127
-85, 642, -126
400, -62, -262
563, -1097, -120
314, -1949, 411
-,-,-
-970, 197, -45
-994, 461, -97
-1025, 755, -227
-1049, 1041, -305
-1216, 1499, -505
-1432, 1958, -699
-1359, 1997, -769
-868, 1997, -711
-318, 1987, -603
27, 1416, -561
329, 386, -362
478, -996, -164
203, -1995, 287
-53, -1998, 547
-,-,-
-867, 301, 115
-873, 518, 103
-948, 870, 58
-948, 870, 58
-899, 1179, -80
-1017, 1417, -422
-1392, 1673, -790
-1770, 1868, -928
-1777, 1997, -799
-1212, 1997, -541
-614, 1940, -273
2, 1366, -221
628, -35, -454
597, -1678, -151
362, -1998, 332
-70, -1998, 321
-661, -1998, 666
-,-,-
-1040, 316, 0
-1040, 316, 0
-1123, 558, 66
-1151, 946, -55
-1207, 1593, -250
-1200, 1996, -284
-990, 1997, -519
-876, 1997, -624
-437, 1997, -467
71, 1899, -365
285, 867, -538
259, -1118, -431
78, -1998, 159
-817, -1998, 766
-1384, -1998, 786
-1572, -1998, 1075
-1361, -1911, 435
-996, -1266, -320
-,-,-
-1076, 559, -16
-1073, 853, -62
-948, 1343, -164
-984, 1924, -198
-1003, 1997, -276
-1021, 1997, -313
-1044, 1997, -224
-765, 1958, -147
-419, 1316, -92
74, 291, -153
374, -1232, -150
342, -1998, 264
-324, -1998, 737
-1511, -1998, 945
-1797, -1998, 790
-1348, -1985, 386
-,-,-
-1081, 308, -61
-1055, 681, -15
-972, 1253, -41
-857, 1864, -204
-748, 1997, -360
-452, 1997, -239
-306, 1997, -284
-250, 1781, -370
-206, 599, -435
-191, -797, -398
34, -1357, -175
128, -1944, -11
-589, -1998, 104
-1850, -1998, 606
-1901, -1998, 618
-1413, -1893, 321
-,-,-
-915, 218, -128
-1055, 492, -173
-1143, 727, -243
-1212, 1034, -348
-1147, 1253, -452
-1149, 1579, -588
-1267, 1957, -536
-1133, 1997, -247
-759, 1995, -27
-289, 1767, -7
73, 941, -215
106, -704, -172
192, -1779, 56
335, -1998, 335
84, -1998, 171
-956, -1998, 376
-1722, -1998, 675
-,-,-
-1011, 218, 53
-1024, 377, 38
-1052, 663, -88
-1085, 1008, -152
-1128, 1238, -196
