9, -942, -1997
80, -1043, -1986
125, -1208, -1709
244, -1355, -1294
362, -1529, -771
455, -1611, -147
672, -1352, 449
1130, -797, 1089
1687, -175, 1727
1947, 341, 1998
1997, 637, 1998
1997, 712, 1998
1997, 712, 1998
1997, 614, 1998
1997, 728, 1998
1909, 572, 1998
1631, 126, 1936
1314, -615, 1535
1022, -1340, 784
849, -1664, -417
787, -1583, -1392
559, -1139, -1970
147, -1174, -1986
-129, -1148, -1673
-195, -966, -1854
-183, -633, -1997
-428, -522, -1582
-574, -522, -1272
-711, -546, -1078
-767, -538, -845
-,-,-
-872, -81, -67
-879, -122, -116
-833, -177, -124
-725, -58, -187
-606, -76, -362
-579, -182, -583
-699, -342, -746
-687, -428, -838
-502, -508, -1162
-318, -698, -1725
-222, -831, -1996
-129, -893, -1997
-27, -991, -1997
76, -1100, -1989
222, -1194, -1729
396, -1341, -1185
600, -1405, -610
687, -1351, 35
819, -1014, 704
1278, -358, 1420
1634, 318, 1988
1680, 595, 1998
1601, 415, 1998
1442, 316, 1998
1376, 412, 1998
1559, 607, 1998
1581, 513, 1998
1372, 48, 1937
1061, -619, 1399
873, -1143, 741
873, -1143, 741
742, -1421, -118
694, -1543, -1034
685, -1471, -1937
107, -839, -1997
-189, -638, -1969
-346, -619, -1607
-472, -600, -1463
-,-,-
-685, -97, -113
-618, -53, -97
-626, -186, -224
-641, -424, -495
-589, -513, -808
-473, -625, -1216
-403, -850, -1697
-316, -1029, -1992
-258, -1133, -1997
-188, -1168, -1997
-125, -1263, -1821
-52, -1340, -1341
54, -1400, -999
244, -1406, -663
399, -1201, -311
587, -967, 65
876, -633, 577
1236, -40, 1244
1526, 387, 1921
1801, 588, 1998
1982, 541, 1998
1997, 635, 1998
1991, 673, 1998
1991, 673, 1998
1829, 619, 1998
1604, 406, 1998
1398, 63, 1896
1146, -375, 1426
960, -856, 812
788, -1222, -17
476, -1517, -855
256, -1488, -1678
124, -1155, -1997
-75, -884, -1997
-210, -619, -1981
-378, -553, -1883
-448, -378, -1729
-,-,-
-757, -158, -180
-731, -270, -395
-774, -232, -573
-757, -203, -574
-754, -209, -531
-751, -346, -571
-728, -406, -687
-700, -434, -844
-653, -471, -975
-523, -619, -1237
-273, -807, -1802
-119, -991, -1997
-45, -1121, -1997
131, -1273, -1997
318, -1477, -1898
458, -1693, -1452
617, -1802, -854
792, -1587, -117
1038, -1191, 548
1504, -725, 1450
1941, -31, 1998
1997, 361, 1998
1997, 202, 1998
1997, 239, 1998
1997, 433, 1998
1997, 368, 1998
1994, -48, 1998
1691, -817, 1971
1331, -1378, 1203
1163, -1792, -113
1230, -1908, -1535
858, -1511, -1997
541, -1000, -1997
212, -832, -1997
-28, -752, -1994
-212, -699, -1997
-291, -423, -1997
-475, -311, -1764
-773, -415, -1191
-,-,-
-831, -161, -295
-809, -131, -362
-776, -114, -388
-719, -204, -447
-756, -269, -568
-719, -299, -685
-697, -315, -879
-703, -443, -1045
-671, -524, -1185
-563, -515, -1412
-408, -543, -1676
-311, -619, -1898
-279, -765, -1997
-123, -842, -1997
125, -849, -1876
330, -942, -1471
477, -1098, -1060
578, -1104, -626
611, -1078, 181
746, -826, 1113
1131, -212, 1991
1010, 73, 1998
784, 57, 1998
748, 247, 1998
986, 446, 1998
986, 446, 1998
1325, 382, 1998
1396, 4, 1998
1264, -554, 1998
1192, -1100, 1450
1125, -1567, 214
1143, -1713, -1115
1126, -1313, -1989
785, -636, -1997
256, -274, -1997
-299, -328, -1997
-761, -506, -1738
-782, -339, -1258
-766, -222, -1092
-872, -208, -945
-938, -205, -762
-,-,-
-688, -78, -321
-651, -75, -321
-706, -152, -478
-730, -249, -622
-789, -312, -739
-778, -232, -803
-821, -297, -808
-854, -411, -826
-847, -460, -965
-766, -494, -1319
-616, -532, -1746
-502, -586, -1992
-349, -747, -1997
-117, -869, -1997
163, -1283, -1861
403, -1508, -1329
718, -1541, -829
924, -1385, -403
908, -1265, 170
1054, -934, 963
1394, -351, 1885
1737, -71, 1998
1737, -71, 1998
1997, -60, 1998
1997, 139, 1998
1997, 452, 1998
1997, 613, 1998
1974, 237, 1998
1647, -438, 1998
1291, -1140, 1618
1024, -1666, 711
914, -1939, -233
883, -1977, -1309
1052, -1479, -1997
773, -717, -1997
345, -415, -1997
64, -287, -1995
-466, -446, -1860
-791, -516, -1650
-932, -309, -1352
-1036, -258, -936
-,-,-
-798, -192, -630
-772, -197, -555
-808, -216, -571
-846, -302, -658
-856, -331, -790
-783, -339, -952
-654, -392, -1207
-537, -536, -1667
-433, -738, -1990
-235, -773, -1997
-27, -792, -1997
50, -1013, -1875
84, -1313, -1525
214, -1585, -1126
763, -1258, 24
763, -1258, 24
1107, -847, 645
1638, -334, 1428
1997, 238, 1998
1997, 509, 1998
1997, 588, 1998
1997, 658, 1998
1997, 652, 1998
1997, 402, 1998
1857, -131, 1994
1455, -805, 1420
1150, -1383, 436
966, -1612, -671
866, -1520, -1675
655, -897, -1997
393, -579, -1997
74, -459, -1997
-135, -169, -1892
-535, -124, -1656
-799, -145, -1375
-987, -153, -925
-1034, -222, -669
-1004, -176, -792
-942, -113, -816
-,-,-
-655, -126, -651
-680, -233, -659
-758, -261, -698
-777, -316, -690
-785, -299, -679
-752, -338, -727
-652, -359, -919
-519, -442, -1216
-368, -515, -1535
-111, -558, -1841
122, -633, -1991
257, -791, -1997
313, -1044, -1907
423, -1338, -1643
495, -1551, -1344
564, -1670, -946
603, -1658, -338
818, -1486, 319
1356, -912, 1239
1919, -247, 1998
1997, 218, 1998
1997, 578, 1998
1997, 753, 1998
1997, 830, 1998
1994, 559, 1998
1723, -17, 1998
1368, -630, 1870
1126, -1146, 1162
1004, -1421, 374
889, -1811, -443
849, -1998, -1415
804, -1786, -1997
529, -1090, -1997
344, -741, -1997
250, -386, -1997
-179, -488, -1997
-549, -565, -1963
-836, -562, -1505
-1023, -541, -1042
-,-,-
-648, -119, -273
-601, -190, -419
-626, -195, -580
-679, -254, -632
-725, -315, -695
-649, -318, -774
-550, -402, -1025
-462, -510, -1403
-340, -604, -1837
-219, -675, -1997
-12, -755, -1997
152, -917, -1997
185, -1149, -1961
240, -1384, -1625
390, -1559, -1200
799, -1500, -239
799, -1500, 293
1192, -1184, 293
1765, -674, 1199
1997, -39, 1998
1997, 300, 1998
1997, 564, 1998
1997, 701, 1998
1997, 656, 1998
1997, 483, 1998
1986, 33, 1998
1851, -508, 1966
1628, -1099, 1496
1351, -1675, 648
1195, -1990, -451
1169, -1972, -1718
1142, -1473, -1997
751, -881, -1997
302, -563, -1997
-84, -436, -1969
-555, -587, -1728
-785, -533, -1445
-900, -459, -1205
-,-,-
-509, -122, -543
-547, -225, -569
-662, -344, -637
-655, -418, -675
-588, -441, -851
-460, -542, -1233
-232, -624, -1813
-49, -754, -1997
136, -829, -1997
279, -953, -1997
324, -1221, -1997
323, -1450, -1791
301, -1653, -1317
319, -1814, -706
491, -1761, 41
1070, -1298, 778
1730, -699, 1738
1987, -79, 1998
1988, 414, 1998
1997, 657, 1998
1817, 631, 1998
1817, 631, 1998
1675, 688, 1998
1650, 470, 1998
1508, 30, 1998
1305, -409, 1998
1213, -817, 1528
1145, -1149, 745
1022, -1575, -60
743, -1865, -1142
626, -1612, -1970
592, -1012, -1997
454, -538, -1997
149, -404, -1997
-234, -484, -1996
-558, -471, -1712
-843, -424, -1168
-1049, -389, -845
-,-,-
-671, -24, -66
-489, 104, -29
-484, -28, 81
-534, -231, 24
-530, -350, -273
-520, -449, -691
-561, -685, -1140
-349, -770, -1704
-105, -891, -1997
47, -998, -1997
148, -1096, -1997
271, -1215, -1997
325, -1426, -1962
429, -1665, -1631
520, -1868, -1117
708, -1975, -578
930, -1940, 185
1446, -1397, 873
1976, -437, 1715
1997, 322, 1998
1997, 507, 1998
1997, 430, 1998
1997, 426, 1998
1997, 530, 1998
1997, 475, 1998
1997, 475, 1998
1997, 193, 1998
1887, -111, 1953
1469, -599, 1415
1141, -1108, 719
762, -1544, 130
491, -1901, -576
530, -1819, -1488
653, -1350, -1997
502, -914, -1997
521, -435, -1997
127, -319, -1997
-320, -451, -1988
-,-,-
-498, -67, -276
-434, -112, -421
-445, -292, -645
-542, -431, -946
-533, -425, -1165
-523, -471, -1348
-401, -614, -1738
-322, -759, -1997
-303, -887, -1997
-258, -923, -1995
-94, -1024, -1842
180, -1128, -1740
390, -1364, -1481
591, -1556, -1046
690, -1651, -460
806, -1644, 195
1248, -1228, 944
1742, -399, 1799
1995, 78, 1998
1997, 207, 1998
1997, 360, 1998
1997, 585, 1998
1997, 684, 1998
1997, 472, 1998
1997, 8, 1998
1997, 8, 1998
1877, -556, 1906
1486, -1263, 1213
1128, -1829, 285
1014, -1998, -783
1118, -1867, -1839
365, -787, -1997
159, -787, -1973
159, -494, -1973
-80, -385, -1533
-381, -423, -1360
-703, -337, -1157
-854, -321, -888
-952, -228, -712
-956, -157, -558
-,-,-
-733, -93, -370
-776, -177, -342
-723, -259, -428
-672, -253, -642
-629, -298, -848
-568, -298, -1064
-491, -483, -1352
-355, -483, -1659
-151, -496, -1931
18, -609, -1997
175, -803, -1997
231, -1054, -1997
293, -1270, -1867
367, -1542, -1370
492, -1730, -839
764, -1664, -291
1235, -1216, 330
1750, -721, 1290
1992, -29, 1992
1997, 511, 1998
1997, 515, 1998
1997, 528, 1998
1997, 657, 1998
1997, 657, 1998
1997, 517, 1998
1997, 214, 1998
1997, -222, 1957
1794, -838, 1378
1381, -1423, 395
1077, -1758, -890
1000, -1451, -1959
991, -633, -1997
852, 152, -1997
277, 228, -1997
-507, -298, -1914
-1051, -573, -1430
-1146, -304, -922
-1127, -41, -314
-1017, -17, -244
-885, -78, -273
-,-,-
-485, -89, -538
-563, -168, -674
-633, -307, -855
-635, -271, -959
-663, -280, -1033
-650, -387, -1125
-563, -530, -1353
-331, -623, -1813
-57, -610, -1997
249, -705, -1997
422, -962, -1997
477, -1327, -1997
472, -1649, -1839
528, -1880, -1318
679, -1992, -668
1024, -1977, 135
1743, -1499, 1069
1997, -646, 1935
1997, -39, 1998
1997, 125, 1998
1997, 226, 1998
1997, 327, 1998
1997, 420, 1998
1997, 163, 1998
1997, -368, 1998
1995, -1149, 1784
1633, -1901, 918
1229, -1998, -288
1287, -1998, -1556
1230, -1633, -1997
767, -972, -1997
624, -622, -1997
228, -465, -1853
-235, -528, -1778
-459, -473, -1635
-714, -382, -1258
-839, -346, -1010
-861, -290, -1036
-817, -357, -894
-799, -326, -711
-,-,-
-733, -280, -696
-800, -272, -887
-776, -289, -911
-754, -333, -935
-735, -405, -1036
-618, -460, -1297
-416, -508, -1722
-318, -660, -1985
-157, -802, -1997
50, -907, -1997
226, -1064, -1997
283, -1307, -1923
297, -1647, -1485
395, -1869, -906
679, -1900, -269
1184, -1566, 429
1897, -859, 1284
1997, -352, 1980
1997, 78, 1998
1997, 416, 1998
1997, 514, 1998
1997, 628, 1998
1997, 477, 1998
1997, 116, 1998
1997, -338, 1907
1910, -890, 1516
1675, -1396, 848
1381, -1863, -14
991, -1998, -1117
777, -1970, -1963
670, -1482, -1997
535, -1026, -1997
328, -772, -1997
113, -698, -1997
-113, -581, -1997
-,-,-
-574, -1, 151
-545, -178, -165
-533, -401, -643
-442, -554, -1240
-360, -750, -1816
-146, -716, -1997
-72, -793, -1997
-88, -968, -1997
13, -1066, -1997
183, -1108, -1938
322, -1304, -1595
482, -1505, -1206
714, -1628, -804
1002, -1511, -296
1260, -1297, 242
1710, -1156, 1017
1997, -691, 1920
1997, 32, 1998
1997, 400, 1998
1997, 371, 1998
1997, 558, 1678
1932, 536, 1390
1827, 420, 1803
1875, 162, 1998
1881, -151, 1998
1857, -497, 1756
1857, -497, 1756
1724, -902, 1104
1674, -1481, 480
1473, -1977, -321
1023, -1829, -1997
552, -1135, -1997
217, -721, -1997
-181, -666, -1985
-393, -592, -1774
-527, -653, -1571
-,-,-
-368, 40, 3
-388, -139, -142
-418, -307, -396
-461, -522, -738
-493, -522, -1313
-328, -860, -1951
-111, -914, -1997
54, -948, -1997
134, -1026, -1997
151, -1215, -1927
138, -1498, -1613
197, -1779, -1237
409, -1871, -720
716, -1699, -142
1079, -1278, 300
1479, -870, 810
1890, -184, 1498
1997, 459, 1981
1997, 570, 1998
1997, 586, 1998
1997, 636, 1998
1997, 636, 1998
1997, 721, 1998
1997, 432, 1998
1997, 4, 1998
1997, -499, 1987
1989, -1201, 1595
1718, -1879, 842
1344, -1998, -307
1341, -1998, -1752
1362, -1604, -1997
1135, -560, -1997
835, -29, -1997
68, -380, -1958
-551, -638, -1952
-756, -536, -1962
-1043, -405, -1559
-1153, -278, -575
-,-,-
-573, -117, -206
-594, -197, -326
-619, -249, -555
-635, -257, -823
-729, -462, -1067
-674, -515, -1317
-533, -587, -1645
-426, -622, -1962
-191, -691, -1997
-56, -782, -1931
25, -932, -1840
25, -932, -1840
136, -1080, -1690
245, -1249, -1379
367, -1556, -518
588, -1490, -112
1024, -1270, 452
1645, -978, 1242
1997, -503, 1956
1997, 224, 1998
1997, 224, 1998
1997, 393, 1998
1997, 261, 1998
1997, 503, 1871
1997, 563, 1668
1997, 348, 1902
1943, -41, 1998
1809, -557, 1769
1620, -995, 1270
1512, -1347, 758
1276, -1809, 231
